account,hook,video_file
drkhaledghattass,اللي بيؤتل بمرض الصرطان هو مش الصرطان نفسه ولكن انتشار الصرطان من محل لمحل أنا هي دراستي يعني دكتورات أبعى بانتشار صرطان الثدي كيف بيؤتل,/viral-reels/drkhaledghattass/drkhaledghattass__DFNp31jsEEw.mp4
drkhaledghattass,أمي عطول خلص سول وبتلفلها كيفك شو أخبارك ده قايتلها الساعة شي وحدة قالو تلقى أهلاً صوتها مش مزبوط قلتلها ليه صوتك هيك مريضة قلتلها,/viral-reels/drkhaledghattass/drkhaledghattass__DOJhx-JjV7V.mp4
drkhaledghattass,أعطو العلاقة إنسانية عن معظم الناس هي علاقة الأخوة نحن نغفر عن هذا الحقيقة لأنه مردودة مباشر على الحياة مباشر بالدعم الحقيقة مباشر بالدعم العاطفة,/viral-reels/drkhaledghattass/drkhaledghattass__DP4H6LKAVr6.mp4
drkhaledghattass,لتقدر تعيش مع المرأة لازم تؤمن تيوركور إنه هي أسناء الخلاف بتقول الأشياء ما أصدت أولها أبدا إذا ما عندك هذه الإيمان الصاريخ والحقيقة إنه,/viral-reels/drkhaledghattass/drkhaledghattass__DX7Bcjht6TU.mp4
drkhaledghattass,فيه النيلة فيروس مثل تقول يعود إليك عند الليل حين تأوه القصبي يسأل كيف حال الدار كيف مواطنه اللعبة يعني بيجي بالليل حين تأوه القصبي,/viral-reels/drkhaledghattass/drkhaledghattass__DX7Q2ECBez5.mp4
drkhaledghattass,مرة تنتمع عزوم على شو اسمه بيك كونفرنس و جايبين التب سبيكرز من كل عال عم يحكوا عن النجاح و من النجاح و يعني قصة,/viral-reels/drkhaledghattass/drkhaledghattass__DXhhBP5oyFk.mp4
drkhaledghattass,الناس ما بتعرف شو هو اللي بوجع بالخيانة بفكره اللي بوجع بالخيانة هو كسر الثقة انو الله ان كسر الثقة تفيك و هذا الحكاة هذا,/viral-reels/drkhaledghattass/drkhaledghattass__DXuRiCcDUBC.mp4
drkhaledghattass,اذا في اتنانك ام يحكوش يعشر دقائق ان افريج بكزب الانسان مرتان من كل عشر دقائق تقريبا ولكن نوع الكزب عند الرجال والنساء مختلف المرأة,/viral-reels/drkhaledghattass/drkhaledghattass__DXzWofKNW0T.mp4
drkhaledghattass,لما يزعلوا ويكسروا ويفكروا طيعة بصير بدون يديق من حاله إذا أنت كبير فيت على العلاقة أول شيء ما تتوقع التواعي من الصغير إنت بدك,/viral-reels/drkhaledghattass/drkhaledghattass__DYANEENNhyL.mp4
drkhaledghattass,"أمام الشافعي أمام الشافعي ""كعب أمرأة"" ""مش زوجته"" ""كعب أجر على الانك"" ""كعب أمرأة"" ""كعب أمرأة"" ""كعب أمرأة"" ""كعب أمرأة"" ""كعب أمرأة"" وكيف تفعله",/viral-reels/drkhaledghattass/drkhaledghattass__DYCzlj2NogW.mp4
drkhaledghattass,انت بحاجة انه ابنك يبطل بحاجة لك ومساحتك لأنه بمساحته ولكن الأهل يتمسكوا بهذا الشيء لأنه بفكره هذا هي العلاقة مش هيدة علاقة الأهل بالولان,/viral-reels/drkhaledghattass/drkhaledghattass__DYFVSmqNf5D.mp4
drkhaledghattass,هل فعلا انت بتعتبره وبتصدقه,/viral-reels/drkhaledghattass/drkhaledghattass__DYNMzLEtVZq.mp4
drkhaledghattass,مرأة فترة مش سمان الباوي وطل ياكل زي ما لازم يعنى الماما وفرح مش موجودين بالبات وانا مصافر أو مشغول فصرت تلفله أنه أكلت ما,/viral-reels/drkhaledghattass/drkhaledghattass__DYplnj-N_Rj.mp4
drkhaledghattass,كنت أسأل حديثك لو حد عنده علة الماء حلها في التسامح زي الواحد يشتغل على نفسه في التسامح يا بخد والله لا حل مشكلته في,/viral-reels/drkhaledghattass/drkhaledghattass__DYrcEywNQVP.mp4
drkhaledghattass,بس أنا أحلى شغلة بحبه وأكثر شغلة بحبه بسيدنا أبراهيم الشيء اللي مش ضابط لوه تبنيه سابقا بيرفضه بسور عليه ولكن هذه الرحلة بسورة الأنعام,/viral-reels/drkhaledghattass/drkhaledghattass__DYxRoHitTbP.mp4
drkhaledghattass,كان في نكتب زمان تموتنا ضحم وانا كيف مش مستغرب انه ترامب كل ساعة او انا كيف مش مستغرب انه في قيام عم تنكسر بعد,/viral-reels/drkhaledghattass/drkhaledghattass__DZksIE4tC4L.mp4
drkhaledghattass,أول معرك ربحته بحياته أول معرك انتصرته بحياته كانت بالمدرسة بالبنان أول معرك ربحته بحياته أول معرك ربحته بحياته معركة الهوية ما تخلي حدا يئنعك,/viral-reels/drkhaledghattass/drkhaledghattass__DaDlP6htY1k.mp4
drkhaledghattass,أعرفتني عن حالة قلت لتالي دكتور و قلت لك شي قلت له شو عنده تنين دكتورة قلت لتالي مرحبا لتالي دكتورة قلت لك شي قلت,/viral-reels/drkhaledghattass/drkhaledghattass__DaN2T4_NAug.mp4
drkhaledghattass,سيدنا علي بقول احتاج إلى من شئته تكون اسيرة تقول ما انت طالب شغلة من حده وزه هو عارف انه انت طالبه فبتصير من جواتك,/viral-reels/drkhaledghattass/drkhaledghattass__DaVo5m8gLsA.mp4
drkhaledghattass,الذي يؤتل بمرض الصرطان هو ليس الصرطان نفسه ولكن انتشار الصرطان من محل لما حل أنا هذه دراستي عن دكتورات أبعى بانتشار الصرطان الثدي كيف,/viral-reels/drkhaledghattass/drkhaledghattass__DadfaiRt1eQ.mp4
drkhaledghattass,باستعجل أنا ودليل شتي شتي شتي يعني بيجي طبع الباكين حسبني لأنه بدأي فوت ارتاح وما فوت ارتاح قد تقول له خلاص ما هل أنا,/viral-reels/drkhaledghattass/drkhaledghattass__DalQ9iktJ-8.mp4
drkhaledghattass,تخيل حالة انت هلا على مصرح في كتير عالم حوالي وقلوله انه هيده اي في الوحاضرة هتطلع فيها وتحكي فيها العالم ومعك بس دي اتحكي,/viral-reels/drkhaledghattass/drkhaledghattass__DavOS8WthiL.mp4
drkhaledghattass,لتين سننشاء الله سنعمل جائزة الدكتور خالد نغطاص للقراءة بهذا الزمن مقاومة انك ترجع تقرأ كتاب بهدوء وتحلم شو المأصود منه وترفلك بهذا العصر فنحنا,/viral-reels/drkhaledghattass/drkhaledghattass__DbEBV5GN9Y-.mp4
drkhaledghattass,يعني كأنه كزب الإنسان ما بيكفي كيانا وكيانا مش نكفى يعني هيد الفيديو زي اللي كلا متفاعل معه ونطعاطف معه ومنفكر فيها وبتعجبنا ومستغربها وتطلع,/viral-reels/drkhaledghattass/drkhaledghattass__DbMJlBTt-CK.mp4
drkhaledghattass,لطلع الناس اللي بتشوفك عم بتسامح ان والله فلان ازاك و سمحته و فلان واجعك و سمحته و فلان كثلك و سمحته و فلان خيانك,/viral-reels/drkhaledghattass/drkhaledghattass__DbYntYMNhAm.mp4
kazimfayad,لم اراها اهديكي واردي لأنه لما كنا صغار انا وبنخالب الضيعة حضرنا فيلم عن رجل اكتاش افبير نفت تحت البيت عنده بأمارك وصار غني كتير,/viral-reels/kazimfayad/kazimfayad__C-7ub-QC6gB.mp4
kazimfayad,كل ما شوف اختلي كبيري بتذكرني انه كانت تحممني لما كنت صغير انا ما بتذكره اللحظات بس بتذكر اني كنت حبه وبعدني مرة كنت اشتري,/viral-reels/kazimfayad/kazimfayad__C-VJ9wJCch7.mp4
kazimfayad,أنا ما تعضل الزوجات والله حلها الأربعة بسمي اللهم شفتك خطر لي أنه ليه ما بتزوجك إلك أربعة مرات ما بيمش الحال ضرورة إتزوج عليك,/viral-reels/kazimfayad/kazimfayad__DRMhFH0Eq1i.mp4
kazimfayad,بدأ ارفع دعوة على حماته لأن زوجة كتير بيهتم فيهم هول ما بيهتم فيك,/viral-reels/kazimfayad/kazimfayad__DRRwk2WEkSi.mp4
kazimfayad,موت في اع ملئت حدا يشتري خيه وما قدرت أمن خمس ملايين دولار كرمال هيك ما رح صوروا للمساعدة بس صورنا فيلم سينما وراحت حداروا,/viral-reels/kazimfayad/kazimfayad__DT-UpqSEmV0.mp4
kazimfayad,تقوم بإمكانك أن تتعلم الأمر من الأمر يجب أن تتعلم الأمر من الأمر تقوم بإمكانك أن تتعلم الأمر من الأمر ويكفي من أحد أحد يجب,/viral-reels/kazimfayad/kazimfayad__DTIQOUREurq.mp4
kazimfayad,مرترفيئة شكت فينا من كم سنة كنت عم بسبح بالبحر معرفيئة قبل منفل قال لي أنه عم يعمل ريحة براند بقسمه فتح الشنطة وشاء الأنين,/viral-reels/kazimfayad/kazimfayad__DTu8yRUEv7p.mp4
kazimfayad,رح صير غنة مبروك كيف شتريت كورس عقارات لا اي كومت لا تسوي لا لكن كورس كيف تكون غنة و شو بيعلمة كيف تكون غنة,/viral-reels/kazimfayad/kazimfayad__DUAeFuVDfuU.mp4
kazimfayad,بدي ارفع دعوة على ابنك سرقك,/viral-reels/kazimfayad/kazimfayad__DUDDNmfDUV0.mp4
kazimfayad,ما بحب كذب عليك الى الصراحة وما قلتك أنك أحلى وحدة بالعالم الحديث ما بكون عام جاملك أنا بكون عن جد شيفك أحلى وحدة بالعالم,/viral-reels/kazimfayad/kazimfayad__DUs19jlkjei.mp4
kazimfayad,[موسيقى],/viral-reels/kazimfayad/kazimfayad__DUsmSZDEqGe.mp4
kazimfayad,حبيت بنت، ما شفت بحياته أردت أحلم كيف رح شوفه أول مرة من بعض ما تتفقنا نلتقه بس بلاشت الحرب بصار كل واحد بمحالة لا,/viral-reels/kazimfayad/kazimfayad__DVd5J1mDcoH.mp4
kazimfayad,بداية برج العقرب غير الكل أول مرة تعرفت على الأبراج كانت لالية راس السنة أم نحضر تلفزيون بردو ساعة سوبة كستنة وخمسة وعشرين شخص من,/viral-reels/kazimfayad/kazimfayad__DVtLXLCDON6.mp4
kazimfayad,لانه عنده رفيعان لتنان أكبر مني بعشرين سنة الأول متزوج عنده تلتة أولاد والتاني أعزب عنده بسينات فيك تقولي متلولاد حولت اخذ القرار قابل بيسألها,/viral-reels/kazimfayad/kazimfayad__DWoTzRsDW9D.mp4
kazimfayad,هل تشتوه,/viral-reels/kazimfayad/kazimfayad__DX1tsmdtjr7.mp4
kazimfayad,لأكها لحمار لك شو بلنا نعمل فيه,/viral-reels/kazimfayad/kazimfayad__DXes322DURd.mp4
kazimfayad,لماذا يربطينه,/viral-reels/kazimfayad/kazimfayad__DYPOvRTtAmi.mp4
kazimfayad,شو عال رارتي من نسمي,/viral-reels/kazimfayad/kazimfayad__DYuWRMbNaN3.mp4
kazimfayad,زوجت أنا ونور من فترة بلش توصلنا التهانة مبروك ألف مبروك زوجت دهر ألا معاك عريس ألا هانيكون وأي الأخري توصلنا التهاني بشكل أمنيات مختلفة,/viral-reels/kazimfayad/kazimfayad__Da7urKYt6zr.mp4
kazimfayad,أنا بكرها الصيف و بكرها اللي بحب الصيف و بكرها الشاب و بكرها الشمس الرمل للبحر أي إنسان على البحر البحر سعى البحر و أي,/viral-reels/kazimfayad/kazimfayad__DaX3OV0NcGj.mp4
kazimfayad,كان عمريش 12 سنة لما اكتشفت انه لهزل ببنتر فيه ات امه حرام وكان يتطل يوم التنان وقارج معه شوفه فجأك بريد كان نصارت واحدة,/viral-reels/kazimfayad/kazimfayad__DadHZofNSwh.mp4
kazimfayad,أسوأ شيء ممكن تعمل هو أنك تسب لخالق إخته أتمنى أنك أريد أن تكون أسوأ أعتقد أنه يشعر بأنه حزار لكن أسألت من بعضه إختاك,/viral-reels/kazimfayad/kazimfayad__DalFe_rNMMn.mp4
kazimfayad,ماذا تقلق,/viral-reels/kazimfayad/kazimfayad__DbI9UTcNdJp.mp4
kazimfayad,مالذي تفعله,/viral-reels/kazimfayad/kazimfayad__DbTC0-xt4JG.mp4
khalifatasweq,رجل سعودي لقى فكرة في دفتر بقالة فحولها الشركة بتقدر كمتها بأكثر من مليار دولار عبد المجيد الصخان بدأت قصته لما تخرج من جمعة في أمريكا ورجع السعودية وجات له فكرة تطبيق لخدمة البقالة بس فيه حاجة لفتت نظره أن أغلب محلات البقالة بتبيع بالآجل لزباينها اللي بيجوا على طول وفي سنة 2020 بدأ شركة التمارة مع اتنين صحابة وفكرتها أنك تشتري دلوقتي وتدفع بعدين على قصات وكمان بدون فوايد,/viral-reels/khalifatasweq/khalifatasweq_C53mGIkPz4P.mp4
khalifatasweq,هذا بالضبط اللي أغلب الناس بتعمله مع شجيره,/viral-reels/khalifatasweq/khalifatasweq_C7mUMJtPFW5.mp4
khalifatasweq,ست صينية أنت بتلمس منتجها كل يوم وعمرنا ما سمعنا عنك زو كونفي بدأت قصتها لما كان عندها 16 سنة وبدأت تشتغل كعملة في مصنع إزاز وحوشت 33 ألف دولار وكررت إن هي تفتح مشروحها الخاص وهي عندها 22 سنة وهو ورشة بتصنع إزاز السعات كان عندها عملة كتير بس في مشكلة وجهدة إن أغلب العملة ما كانوش بيدفعوا الديون اللي عليهم ومن هنا جدت لها فكرة حبقرية لما حصلت الأزمة الأسياوية سنة 97 فعرضت على اللي بيصنعوا سعات,/viral-reels/khalifatasweq/khalifatasweq_C89E2aVscZ0.mp4
khalifatasweq,ازاي استهدف بلد بدون اعلان بمحتوى اورجانيك استهدفك لبلد معين في محتوىك بيبدأ من انك تقول اسم البلد دي راجل امراتي او اسم شخص او لهجة او تلبس الملابس التقليدية بتاعت البلد دي زي مثلا فيديو سر السحيمي راح السعودية باكثر من 80% وفيديو عبدالله بوشيخ راح الاردن والامارات وفيديو بتاع البيك راح للسعودية كل الفيديوهات دي نجحت باكثر من 90% ورحت للجمهور المستهدف من غير مصرف ولا دولار وده اسمه في الماركتينج,/viral-reels/khalifatasweq/khalifatasweq_C8zM9kOMcJl.mp4
khalifatasweq,لا يكفي إيش عادة,/viral-reels/khalifatasweq/khalifatasweq_DAEYXpNvyS6_4.mp4
khalifatasweq,أعني انظروا إلى ماذا يحدث هنا نحن نتخلص من كوشيلة,/viral-reels/khalifatasweq/khalifatasweq_DAEYXpNvyS6_5.mp4
khalifatasweq,من سنتين وجيت قدام مكتب جوجل هنا في نيويورك وكان عندي حلم واحد بس ان ندخل المكتب ده والحلم ده اتحقق النهار ده,/viral-reels/khalifatasweq/khalifatasweq_DAMnhOpPcxn.mp4
khalifatasweq,انسى كل أدوات الزكاء الاصطناعي زي راناوي و بيكا وسورا الادادي هتخليك تقدر تعمل محتوى من غير ما تظهر وشك اللي أغلب الناس بتوجيه في مشكلة هنكتب مثلا اعمل فيديو مدته دقيقة لغواص بيكتشف أعماق المرينا كل اللقاطات تكون من زاوية وصعة لPoV وإعرض كمان لقاطات لتمسال الحرية وبوابة الهند العملاقة و كورد بكيمون,/viral-reels/khalifatasweq/khalifatasweq_DAvMUExSxsd.mp4
khalifatasweq,ايتش بي بتخسر فلوس في دي علشان تكسب في دي ايكا بيخسر فلوس على دا علشان يكسب من دا سوني بتخسر فلوس على دا علشان تكسب في دا جيلت بتخسر فلوس على دا علشان تكسب في دا اكس بوكس بتخسر فلوس على دا علشان تكسب في دا الفلوس الحقيقة مش في الحاجة اللي بتدخلك المكان هي في الحاجة اللي بتكسبك كعميل وبتخليك ترجع على طول,/viral-reels/khalifatasweq/khalifatasweq_DFwgDEbT2ww.mp4
khalifatasweq,سأريك أشكال وتقول لي أن شكل عينك استريحت وقتا,/viral-reels/khalifatasweq/khalifatasweq_DFznx48zw_4.mp4
khalifatasweq,سأريك شعرات وتقول لي أنهي لوجو لفت نظرك أكثر,/viral-reels/khalifatasweq/khalifatasweq_DGVN1kWzxw8.mp4
khalifatasweq,ما كنتش متوقع إن في أدات زكاة إصطناعي بتطلع نتائج بالدقة دي خلينا أوريك أعمل لي فيديو مدته دقيقة لموقع بناء فوق رخامة مطبخ خشب العمال الصغيرين يكونوا لابسين خوا الصفرة ولبس شغل وبينقلو شكاير دقيقة وبيرفعو بيضة برفعة وخلينا نشوف النتيجة,/viral-reels/khalifatasweq/khalifatasweq_DGiWrGKMBgg.mp4
khalifatasweq,لو زرعت شجرة بامبوه لمدة سنة مش هتشوف أي حاجة بتحصل والأرض هتفضل مستوية ولا نبتة بتطلع ولا علامة أن فيه أي حاجة أصلاً هتحصل,/viral-reels/khalifatasweq/khalifatasweq_DY2KYARodVI.mp4
khalifatasweq,الصين خدت الحمام العادي حولته البزنس بملايين دولارات تدفع الحمام المولت تدفع 2 دولار وفي 30 سنة بتلعلك تحليل صحي بالسكر بالبروتين بالكالسيوم والأغرب بقى أنه بيتلعلك انزار لو عندك مشاكل في الكلاب الجهاز الواحد تكلفته حوالي 500 دولار يعني لو استخدموا 20 شخص في اليوم يمكن في ظرف 13 يوم يرجع 8 وأكثر والفكرة دي هتنجح لـ 3 أسباب بتوفر وقت للناس بدل ما يلفوا على معامل تحليل فكرة جديدة تماماً فأكيد ما فيش منافسين والأهم أن تقريباً,/viral-reels/khalifatasweq/khalifatasweq_DYj_idiorz1.mp4
khalifatasweq,لو لسه بتكتب أوامر بنفسك على كلاود وشات جي بي تي فانت بتعمل حكتين بتسرف فلوس أكثر وكمان ما بتطلعش بأحسن نتيجة الحركة دي هتخلي النتائج بتاعتك أحسن من اللي انت بتعمله دلوقتي بمئة مرة افتح شات جي بي تي أو كلاود وعمل بروشك وحط الماستر برومت ده في الستم انستركشنز دلوقتي كل مرة هتحتاج تعمل محتوى أو تكتب إيميل هتدخل تقوله انت عايز ايه شرح مبسط وهو هيجيب لك برومت كامل فانت ك,/viral-reels/khalifatasweq/khalifatasweq_DYpC7NCoKXI.mp4
khalifatasweq,كان في مزارع الصيني حصانه هرب الناس جت وقالت له يا خسارة راح قلهم يمكن بعد كم يوم الحصان رجعه مع 3 حسانة تانيين راح الناس قلت له يا بختك رد عليهم وقال لهم يمكن بعدها بكم يوم ابنه وقع من حصانه وتكسرت رجله راح الناس قلت له دي مصيبة راح رده وقال يمكن بعدها بأسبوعين الجيش جاو أخذ كل الرجل اللي في القرية إلا ابنه عشان رجله مكسورة الحاجة اللي شكلها كارثة النهاردة ممكن تكون أحسن حاجة حصارة تلعب بعد سنة بس سنتا لس,/viral-reels/khalifatasweq/khalifatasweq_DZIhjYcI58h.mp4
khalifatasweq,وحد أخذ البروتينشيك العادي وحوله المشروع يعمل ملايين الدولارات حتى مكة أمام الجيم الشخص يدخل يختار الفليفر ويدفع وفي سواني البروتينشيك بيبقى جاهز من غير كشير من غير موظفين ومن غير حتى ما يستنى المكة دي بدأت تنتشر في دول كتير في العالم بس نادرا لو لقيتها عندنا في المنطقة لو المكة دي بعد 30 شيك بس في اليوم بسعر الواحد 20 درهم يعني في الشهر هتعمل حوالي 18 ألف درهم والفكرة دي هتنجح للتلت أسباب أولاً بتحل مشكلة,/viral-reels/khalifatasweq/khalifatasweq_DZKPTYSosQ-.mp4
khalifatasweq,واحد أخذ صالون حلقة عادي وعمل في فكرة بسيطة خلت العمل اللي بيرجاه عنده أكثر من 30% عمل loyalty card في الوالد بتاع العملات تاعته كل لما العميل بيجي بياخد خدمة على الكرت ولما بيوصلوا العشرة بيحلق مرة ببلاش والكرت كل إسبوعين ثلاثة بيبعت إشعار للعميل بيفكروا يحلق من غير إعلانات ومن غير أي فلوس والفكرة دي هتنجح لثلاث أسباب أولاً الكرت مع العميل دايماً فطبيعي إنه هو مش هينسف العربية ولا في البيت سانياً بيفكر العميل في الوقت الص,/viral-reels/khalifatasweq/khalifatasweq_DZfMB7ModRE.mp4
khalifatasweq,ريدبول طعمها وحش وده بالضبط سبب نجحها بس مش دلل مفروض يخوفك اللي يخوفك انهم خلوك تحب الطعم ده وانت مش حاسس ريدبول ما حاولتش تحارب بيبسي وكوكاكولا لانها عارفة ان هي حرب خسرانة فعملوا حاجة تانية خالص اخترعوا كاتيجوري لنفسهم قالوا احنا مش مشروب غازي عادي احنا مشروب طاقة وفجأة ما بقاش في مقارنة ما بقاش في منافس وما بقاش في سقف للسعر بس كان عندهم مشكلة ما فيش حد يعرف يعني ايه مشروب طا,/viral-reels/khalifatasweq/khalifatasweq_DZpPN5SoElS.mp4
khalifatasweq,كافي في أمريكا عمل حاجة ماحدش فكر فيها حول كل كباية أهوة للوتري لعبة فيها دوبامين بجد بس فيها عيب غالي جداً الربط ما بين العامل والكافي بيتقطع فعملوا حاجة زكية جداً حطوا QR كود على الكباية الكسبانة ولما العامل بيعمل لها سكان بيحولوا للوالد بتاعت الموبايل وبيضيف له كباية الأهوة فيها يعني مش بس أهوة دا كمان حولوا العامل دائم والفكرة دي هتنجح لتلت أسباب أولاً الكارت بيفضل حتى بعدما الأهوة تخلص سانياً كل زيار,/viral-reels/khalifatasweq/khalifatasweq_DaDs4kBo9K_.mp4
khalifatasweq,"لو هفتح كافي النهاردة أنا مش هفتح كافي أنا هفتح حاجة اسمها ""Third Place"" وفيه تلات حاجات بس أول حاجة وهي ""Slow Bar"" الناس تجي تتفرج على البارستة وتوقف معا وهو بيعمل الآهوة ويرسم عليها لأن التجربة نفسها هي ""The Product"" ثاني حاجة ""Community Table"" ترابزة كبيرة في نص الكافي تخلي الناس كلها تتعرف على بعض ثالث حاجة واللي أغلب الناس ممكن تختلف معا في سببها وهي ""No Wi-Fi Policy"" مش هدفها انها يتمشي الناس بس تخليهم يتعرفوا على بعض",/viral-reels/khalifatasweq/khalifatasweq_DaGuTdyISGY.mp4
khalifatasweq,لو أنا كنت محمد صلاح صعبة دي,/viral-reels/khalifatasweq/khalifatasweq_DaP_0ZtICpC.mp4
khalifatasweq,اهنى ادات زكاستناعى مش علشان الناس بتديها تسويق ملوش داعي الاداد دي بتعمل لك منتاج كامل فمتعملت اولا بتعملها كونت او بتوصل,/viral-reels/khalifatasweq/khalifatasweq_DaPnz56o25c.mp4
khalifatasweq,لاحظت ان جيزة افضل لعب في المباراة بتاعت محمد صلاح شكلها مختلف عن جيزة رونالدو او ميسي مع ان دي نفس الجيزة بالضبط في كاس العالم 2026 الفيفا بتسلم جيزة افضل لعب بعد كل ماتش والجيزة بيبقى لها راعي واللي هو ميكلوب ألشرا وعلى شان كده الجيزة بيكون عليها شعار الشركة بس الناس بدلت تلاحظ حاجة غريبة بعض اللاعبين زي محمد صلاح واسمعيل السيباري وإمام عشور ورامين ردائيان استلموا نسخة مختلفة تماما عن اللي,/viral-reels/khalifatasweq/khalifatasweq_Dac_kU9xmva.mp4
khalifatasweq,(تصفيق) (تصفيق),/viral-reels/khalifatasweq/khalifatasweq_Daf4JMexzfT.mp4
moatazesssam,إياك تبدأ الفيديو بتاعك بالشكل ده على مسألة أنا معتز شركتنا هي من أقوى الشركات في دبي دلوقتي تقدر تتملك كل البداية دي بقيت مملة وتخلي المشاهد يسيب الفيديو بتاعك ويعمل سكرون وده طبعاً هيقلي من الواتش تايم بتاعك ويخلي الخورزميات تنشرش الفيديو بتاعك ولكن بدل البداية المملة دي استخدم واحد من التالب بداية دول اللي هتحقق لك ملايين المشاهدات وأول نوع حكم عنا بيبقى بتكون من مشكلة زائد سبب المشكلة دي زي مثلاً,/viral-reels/moatazesssam/moatazesssam_DLztap-SrxD.mp4
moatazesssam,أول خطوة أعمل معك أن نعمل أمبورد، أبعط لك فورما فيها شوية أسئلة عشان أقدر أعرف كل حاجة عن شخصيتك، مجالك، مشاكلك، والأهداف اللي أنت عايز توصلها. ثاني خطوة وهي الريسيرش.,/viral-reels/moatazesssam/moatazesssam_DPEKD2bCUwX.mp4
moatazesssam,كيف توصل الأول عشرة تلاف متابع ليك في أقل من ثلاثين ينا كل اللي انت بتبقى محتاجه انك تفهم حاجة واحدة بس,/viral-reels/moatazesssam/moatazesssam_DRC2fkpjAyV.mp4
moatazesssam,ماذا حصل لعوشها عندما قررت تعمل معنا عن برسوم برام بتاعتها؟ عوشها بدأت تواصل معاها المكان عندها 5 سلاف متابعة وكانت منزلة أكثر من 255 بوص وكانت مبعثة كرسوطها ضعيفة جدا لدرجة تنقل تعمل بيعها على أول 2 شهرية وخطة اللي عملناها معها كانت كالتالي أول حاجة كانت وهي الانبورد وفي المرحلة دي أعادت معوشها عشان أفهم مجالها الخبرات اللي عندها والمشاكل بتوجهها والأهداف اللي عايزة توصلها,/viral-reels/moatazesssam/moatazesssam_DT5mr5kCQwq.mp4
moatazesssam,كيف تستطيع تحوّد مشاهدات من كده لكده ومتابعيني من كده لكده وما باعاتي من كده لكده,/viral-reels/moatazesssam/moatazesssam_DWHUhBMDATd.mp4
moatazesssam,خمس أنواع محتوى لازم تشتغل عليهم في 2016,/viral-reels/moatazesssam/moatazesssam_DWRdjcCDLSC.mp4
moatazesssam,أول حاجة تعملها بعد ما تقول سعرك العميلك هي أنك تخرص خالص لا تتوطرش لا تريد أن تقول لعميلك على فكرة نحن أفضل جودة على فكرة نحن أسعلنا أقل من المنافسين,/viral-reels/moatazesssam/moatazesssam_DWeVrmyDE4S.mp4
